date,tournament,season,team_a,score_a,team_b,score_b,neutral,tier
2022-08-25,WC Qualifiers,2023,LBN,85,PHI,81,False,0.5
2022-08-25,WC Qualifiers,2023,MEX,89,COL,93,False,0.5
2022-08-25,WC Qualifiers,2023,PUR,75,BRA,72,False,0.5
2022-08-25,WC Qualifiers,2023,SLO,104,EST,83,False,0.5
2022-08-25,WC Qualifiers,2023,SRB,100,GRE,94,False,0.5
2022-08-25,WC Qualifiers,2023,SWE,50,GER,67,False,0.5
2022-08-25,WC Qualifiers,2023,USA,105,URU,71,False,0.5
2022-08-26,WC Qualifiers,2023,ANG,84,UGA,62,False,0.5
2022-08-26,WC Qualifiers,2023,CIV,78,NGR,66,False,0.5
2022-08-26,WC Qualifiers,2023,COD,69,CMR,71,False,0.5
2022-08-26,WC Qualifiers,2023,EGY,67,TUN,61,False,0.5
2022-08-26,WC Qualifiers,2023,GUI,48,CPV,65,False,0.5
2022-08-26,WC Qualifiers,2023,SEN,69,SSD,66,False,0.5
2022-08-27,WC Qualifiers,2023,BIH,96,FRA,90,False,0.5
2022-08-27,WC Qualifiers,2023,CMR,74,EGY,86,False,0.5
2022-08-27,WC Qualifiers,2023,CPV,58,ANG,65,False,0.5
2022-08-27,WC Qualifiers,2023,CZE,79,HUN,82,False,0.5
2022-08-27,WC Qualifiers,2023,ISL,91,UKR,88,False,0.5
2022-08-27,WC Qualifiers,2023,ITA,91,GEO,84,False,0.5
2022-08-27,WC Qualifiers,2023,LTU,90,MNE,73,False,0.5
2022-08-27,WC Qualifiers,2023,NED,64,ESP,86,False,0.5
2022-08-27,WC Qualifiers,2023,NGR,89,GUI,70,False,0.5
2022-08-27,WC Qualifiers,2023,SSD,101,COD,58,False,0.5
2022-08-27,WC Qualifiers,2023,TUN,63,SEN,73,False,0.5
2022-08-27,WC Qualifiers,2023,UGA,80,CIV,91,False,0.5
2022-08-28,WC Qualifiers,2023,ANG,70,NGR,67,False,0.5
2022-08-28,WC Qualifiers,2023,CIV,77,CPV,69,False,0.5
2022-08-28,WC Qualifiers,2023,COD,45,TUN,57,False,0.5
2022-08-28,WC Qualifiers,2023,EGY,65,SSD,85,False,0.5
2022-08-28,WC Qualifiers,2023,EST,68,FIN,76,False,0.5
2022-08-28,WC Qualifiers,2023,GBR,80,LAT,87,False,0.5
2022-08-28,WC Qualifiers,2023,GER,90,SLO,71,False,0.5
2022-08-28,WC Qualifiers,2023,GRE,85,BEL,68,False,0.5
2022-08-28,WC Qualifiers,2023,GUI,76,UGA,69,False,0.5
